Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Jaison Chourio","CLE","DSL","17-17",175,0.228571428,0.125714285,1.818181818,0.28030303,0.445714285,0.401515151,0.847229436,0.121212121,8.000478551279508,0.324324324,0.8532639673212543,35.33141971455617,10.22155084537072,0.42795971427645,140.70730475982091,"sa3018399"
"Andy Lugo","BOS","DSL","18-18",242,0.045454545,0.144628099,0.314285714,0.318181818,0.367768595,0.413636363,0.781404958,0.095454545,8.408681668218492,0.365591397,3.2772368683945388,39.49125325490276,4.767891732943454,0.3802726692404629,113.73107764905826,"sa3018400"
"Guillermo Williamson","SFG","DSL","18-18",224,0.133928571,0.285714285,0.46875,0.234042553,0.34375,0.425531914,0.769281914,0.191489361,2.877598415175286,0.308333333,-0.03889054979663342,34.7150684148417,2.574436262284329,0.3701591164405857,108.00991172191208,"sa3018401"
"Irving Igualas","MIL","DSL","18-18",178,0.08988764,0.353932584,0.253968253,0.23125,0.297752808,0.2875,0.585252808,0.05625,4.893871062206074,0.367346938,-0.8793392785592005,16.698347153957773,-8.841976610127997,0.29480095291405584,65.38032684393224,"sa3018402"
"Cristhian Vaquero","WSN","DSL","17-17",216,0.152777777,0.175925925,0.868421052,0.255681818,0.378504672,0.34090909,0.719413762,0.085227272,7.987464364839959,0.316546762,-0.06582706305198371,32.14949384431105,1.1567414114878718,0.36259739072817676,103.73229649091382,"sa3018403"
"Ricardo Cabrera","CIN","DSL","17-17",180,0.072222222,0.222222222,0.325,0.253333333,0.363128491,0.38,0.743128491,0.126666667,7.373316445567017,0.333333333,-0.964229091652669,27.835706744319275,2.0084130502999566,0.3697461865467732,107.77632017544694,"sa3018405"
"Anthony Gutierrez","TEX","CPX,DSL","17-17",190,0.057894736,0.178947368,0.323529411,0.308139534,0.357894736,0.476744186,0.834638922,0.168604652,7.554409769432211,0.357664233,-0.7876615960849449,33.04721342451511,6.3358499450200565,0.38946057871768347,123.05785042192211,"sa3018406"
"Samuel Munoz","LAD","DSL","17-17",210,0.123809523,0.161904761,0.764705882,0.346820809,0.428571428,0.491329479,0.919900907,0.14450867,6.173655808822359,0.406896551,-1.6493512353627011,43.9726086577113,13.840766014688764,0.43719920159526987,145.93401797116377,"sa3018407"
"Yordany De Los Santos","PIT","DSL","17-17",234,0.136752136,0.192307692,0.711111111,0.257894736,0.371794871,0.363157894,0.734952765,0.105263158,6.716321546082751,0.32,1.364625656278804,35.800823813668956,2.225342011443843,0.36771603578176254,106.62787811818195,"sa3018408"
"Lazaro Montes","SEA","DSL","17-17",223,0.156950672,0.331838565,0.472972972,0.284090909,0.421524663,0.585227272,1.006751935,0.301136363,5.937731750253246,0.421052631,0.17485397844575346,51.82614407819773,19.828996890607133,0.46554871685301774,161.97114003431338,"sa3018409"
"Javier Osorio","DET","DSL","17-17",178,0.08988764,0.382022471,0.235294117,0.175324675,0.280898876,0.227272727,0.508171603,0.051948052,6.204303438503555,0.302325581,1.5321385995484889,13.117549287716336,-12.422774476369433,0.27001688386617084,51.360152709426266,"sa3018410"
"Jonathan Mejia","STL","DSL","17-17",208,0.158653846,0.23076923,0.6875,0.266666666,0.41826923,0.478787878,0.897057108,0.212121212,6.102309962327893,0.348214285,-0.33400870591867715,43.30293146885772,13.458058755768732,0.43571315103998554,145.09336958862775,"sa3018411"
"Simon Juan","NYM","DSL","16-16",231,0.086580086,0.233766233,0.37037037,0.218905472,0.310043668,0.323383084,0.633426752,0.104477612,9.086842649196962,0.287671232,2.7623589942231774,25.514195214439596,-7.630831692885195,0.3153016828654105,76.97744607593351,"sa3018412"
"Freili Encarnacion","BOS","DSL","17-17",173,0.086705202,0.294797687,0.294117647,0.255033557,0.335260115,0.369127516,0.704387631,0.114093959,6.346825144660459,0.353535353,1.3511134526925161,23.339435519732532,-1.4834634195193652,0.3454352799867619,94.02381074366137,"sa3018414"
